task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	65/c25f04	f27185a9-99ec-4814-8cf4-edacb5aeedd2	listFiles	COMPLETED	0	2024-10-26 19:33:33.764	48.4s	663ms	94.2%	12.9 MB	17.6 MB	9.3 MB	40.3 KB
99	ff/30549d	290d45d2-f819-4713-9779-d053bb3aa39d	generateRDF (98)	COMPLETED	0	2024-10-26 19:34:23.987	48.3s	22.2s	71.9%	53.5 MB	60.9 MB	2 GB	13.6 KB
25	d5/9829ba	b3680ef3-0ba7-4caf-927f-f08452767da0	generateRDF (24)	COMPLETED	0	2024-10-26 19:34:23.302	59s	34.6s	46.3%	53.5 MB	60.9 MB	2 GB	13.6 KB
36	2a/e6aeab	a27d24d6-8318-4bd5-a746-6e4da2a8279a	generateRDF (35)	COMPLETED	0	2024-10-26 19:34:23.397	59s	36.7s	61.6%	53.6 MB	60.9 MB	2 GB	13.6 KB
44	c3/3ef0ea	a6b62dcf-59de-4330-aae0-9fb1030cc8f8	generateRDF (43)	COMPLETED	0	2024-10-26 19:34:23.413	59.1s	33s	46.7%	53.7 MB	60.9 MB	1.2 GB	13.6 KB
65	6f/a739b8	8b4faeb0-acc9-48fa-a788-f4a92088c26d	generateRDF (64)	COMPLETED	0	2024-10-26 19:34:23.493	59.2s	34.6s	62.9%	53.6 MB	60.9 MB	2 GB	13.6 KB
81	04/b98a9b	56a4cba7-c542-4079-8ef3-2b15fb06799d	generateRDF (80)	COMPLETED	0	2024-10-26 19:34:23.665	59.2s	24s	93.0%	53.7 MB	60.9 MB	2 GB	13.6 KB
87	17/76428b	f5fb71af-30c1-43cf-bdcc-19b35d6af5da	generateRDF (86)	COMPLETED	0	2024-10-26 19:34:23.789	59.2s	28.6s	82.3%	53.7 MB	60.9 MB	2 GB	13.6 KB
88	cc/33bdc7	a3b4727e-463e-4cd7-8776-0ddbf98529f6	generateRDF (87)	COMPLETED	0	2024-10-26 19:34:23.789	59.3s	25s	83.2%	53.5 MB	60.9 MB	2 GB	13.6 KB
90	22/98ac11	ce032977-a7a3-4df9-8b40-6c9ef27e56eb	generateRDF (89)	COMPLETED	0	2024-10-26 19:34:23.842	59.4s	27.3s	87.0%	53.6 MB	60.9 MB	2 GB	13.6 KB
92	47/7a022d	95a581a8-e466-4de3-afe3-cfceaac8f9e3	generateRDF (91)	COMPLETED	0	2024-10-26 19:34:23.878	59.5s	23.4s	88.8%	53.8 MB	60.9 MB	2 GB	13.6 KB
107	fd/b3ee25	fa137a3b-548b-4259-a76b-ce963f0295af	generateRDF (106)	COMPLETED	0	2024-10-26 19:34:24.155	59.5s	22.7s	84.9%	53.8 MB	60.9 MB	2 GB	13.6 KB
108	8d/bc293f	0cfb542e-d681-4676-9b2a-0e0f90a1c55f	generateRDF (107)	COMPLETED	0	2024-10-26 19:34:24.211	59.5s	22.3s	66.7%	53.7 MB	60.9 MB	2 GB	13.6 KB
109	65/470805	455882d3-a892-4990-b8a7-4c8d3a2b51ce	generateRDF (108)	COMPLETED	0	2024-10-26 19:34:24.261	59.6s	26.7s	85.4%	53.8 MB	60.9 MB	2 GB	13.6 KB
