task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	57/33e788	8b6680b5-64e0-431b-b6a3-03c4089d71d9	listFiles	COMPLETED	0	2024-11-02 17:20:30.924	2m 18s	646ms	92.4%	14.3 MB	19.3 MB	9.3 MB	34.1 KB
20	7f/02dc21	1d908a40-8501-40e9-8e50-8e7fa00a4c1f	generateRDF (19)	COMPLETED	0	2024-11-02 17:22:49.967	3m 29s	5.7s	38.0%	56.1 MB	62 MB	18.7 MB	93.8 KB
17	93/25c479	a9dead19-340a-4460-80a7-bc528ba4d1ae	generateRDF (16)	COMPLETED	0	2024-11-02 17:22:49.943	3m 49s	6.2s	20.4%	54.7 MB	61 MB	125.2 MB	17.2 KB
19	97/3770b4	214e1e9e-de65-4f2d-bdee-92b2d54a1304	generateRDF (18)	COMPLETED	0	2024-11-02 17:22:49.968	4m 49s	1m 27s	29.8%	53.8 MB	61 MB	2.4 GB	17.2 KB
7	52/c930f9	a01eb2b1-68de-4595-ac99-62016788c911	generateRDF (6)	COMPLETED	0	2024-11-02 17:22:49.947	20m 30s	16m 39s	19.7%	53.8 MB	61 MB	31.2 GB	17.3 KB
8	99/c32b69	49d30b48-b30b-40a4-8a66-d65cd4c584ad	generateRDF (7)	COMPLETED	0	2024-11-02 17:22:49.952	21m 30s	17m 49s	22.1%	53.9 MB	61 MB	33.6 GB	17.3 KB
18	12/0826b4	ad42628d-72d6-4c66-9753-8bcf7240302c	generateRDF (17)	COMPLETED	0	2024-11-02 17:22:49.952	26m 30s	22m 44s	35.9%	53.8 MB	61 MB	78.9 GB	17.3 KB
4	55/f14f5e	ee0313fb-ef76-4fba-ab5c-4d8df27050f0	generateRDF (3)	COMPLETED	0	2024-11-02 17:22:49.946	29m 50s	26m 32s	32.3%	53.9 MB	61 MB	51.3 GB	17.3 KB
16	83/fbabe8	31d7e2c7-4b8f-4bfc-9185-8010bfb57448	generateRDF (15)	COMPLETED	0	2024-11-02 17:22:50.002	33m 10s	29m 28s	35.7%	54.6 MB	61 MB	100.7 GB	17.3 KB
22	95/4b5092	a5864c6a-ff72-4732-a72d-975b29fce1c1	generateRDF (21)	COMPLETED	0	2024-11-02 17:22:49.944	34m	30m 18s	35.9%	54.6 MB	61 MB	106.8 GB	17.3 KB
6	a4/bf0a04	890ab11f-db6f-4e8e-b2bf-00cdbad17326	generateRDF (5)	COMPLETED	0	2024-11-02 17:22:49.840	36m 1s	35m 32s	65.6%	54 MB	61 MB	52 GB	17.3 KB
27	dd/98b010	0d3d6746-a544-418c-a434-aeb1337f8632	generateRDF (26)	COMPLETED	0	2024-11-02 17:22:50.002	37m 21s	33m 31s	20.0%	54.1 MB	61 MB	65.4 GB	17.3 KB
25	6c/a25be0	36db51b5-1f01-47df-b9e4-16533448d41e	generateRDF (24)	COMPLETED	0	2024-11-02 17:22:49.941	37m 31s	34m 2s	32.3%	53.8 MB	61 MB	66 GB	17.3 KB
15	32/50a807	a58b0697-8775-434c-9e85-419da3ae44b1	generateRDF (14)	COMPLETED	0	2024-11-02 17:22:49.931	38m 51s	35m 29s	54.1%	54.6 MB	61 MB	120.9 GB	17.3 KB
21	6d/8189eb	554c707d-81fb-475a-bbce-c5aa6a30a046	generateRDF (20)	COMPLETED	0	2024-11-02 17:22:49.930	40m 31s	37m 10s	56.1%	54.5 MB	61 MB	112.3 GB	17.3 KB
3	57/1698b2	1501864e-6008-41f9-9ea6-decefdbafb8c	generateRDF (2)	COMPLETED	0	2024-11-02 17:22:49.942	40m 51s	37m 33s	30.5%	53.8 MB	61 MB	65.8 GB	17.3 KB
23	63/d581d9	7e8b1e7b-7b96-43db-827b-3b378583b48a	generateRDF (22)	COMPLETED	0	2024-11-02 17:22:49.912	42m 41s	42m 18s	76.5%	54 MB	61 MB	81.1 GB	17.3 KB
24	cb/1763a6	5714299d-6094-483e-a604-d964145fef2c	generateRDF (23)	COMPLETED	0	2024-11-02 17:22:49.922	42m 51s	39m 33s	29.2%	53.9 MB	61 MB	70.7 GB	17.3 KB
12	9c/5c41be	59012927-5dbd-427e-b940-ea87a1c651a4	generateRDF (11)	COMPLETED	0	2024-11-02 17:22:49.934	43m 1s	39m 38s	60.4%	54.5 MB	61 MB	132.6 GB	17.3 KB
11	14/863e4d	df49be77-b88c-480c-9f31-f41d2e93bd9f	generateRDF (10)	COMPLETED	0	2024-11-02 17:22:49.982	44m 21s	40m 31s	36.4%	54.7 MB	61 MB	140.5 GB	17.3 KB
26	b4/83ce38	bdfb0230-608d-489a-a6c2-a3e298079708	generateRDF (25)	COMPLETED	0	2024-11-02 17:22:49.981	44m 51s	41m 32s	32.4%	54 MB	61 MB	74.3 GB	17.3 KB
13	a5/c045a8	747260ce-c5b2-4377-b28f-e6d59c2b3333	generateRDF (12)	COMPLETED	0	2024-11-02 17:22:49.897	50m 1s	46m 39s	35.1%	54.5 MB	61 MB	108.8 GB	17.3 KB
5	92/3a830b	f9589bc5-c1ec-4de5-a627-f9c2eefbf795	generateRDF (4)	COMPLETED	0	2024-11-02 17:22:49.938	51m 41s	48m 22s	45.2%	54.7 MB	61 MB	189.4 GB	17.3 KB
10	0f/9fb70e	f8d02ef7-915f-4358-bece-adc6f917d5a5	generateRDF (9)	COMPLETED	0	2024-11-02 17:22:49.914	52m 1s	48m 40s	52.6%	54.4 MB	61 MB	152.5 GB	17.3 KB
14	43/49b2cc	76d497fc-bf7b-4afa-8f33-d7af2f68d8ce	generateRDF (13)	COMPLETED	0	2024-11-02 17:22:49.911	54m 51s	51m 29s	36.5%	54.6 MB	61 MB	129.5 GB	17.3 KB
2	e6/20b671	cb1b62a0-c81a-47d5-ac45-712817e52e5f	generateRDF (1)	COMPLETED	0	2024-11-02 17:22:49.938	57m 32s	54m 13s	51.6%	54.5 MB	61 MB	178.5 GB	17.3 KB
9	5f/d60cd3	027db7f8-a018-44cd-8342-341e6e14f871	generateRDF (8)	COMPLETED	0	2024-11-02 17:22:49.922	1h 2m 52s	59m 35s	38.2%	54.5 MB	61 MB	154.3 GB	17.3 KB
28	aa/121995	2684065f-6f67-4b7c-92a7-2fb88c404635	uploadToBucket (1)	COMPLETED	0	2024-11-02 18:25:51.687	4m 40s	754ms	92.7%	14 MB	19.1 MB	9.9 MB	11.3 KB
