task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	3b/13960a	9f21cb6c-8f63-4243-934c-fc0e64faa430	listFiles	COMPLETED	0	2024-11-02 19:40:29.236	5m 48s	685ms	94.1%	15.5 MB	20.9 MB	9.3 MB	82.4 KB
124	23/8e2417	cd8a510a-520b-44ef-8f30-401a83542ec0	generateRDF (123)	COMPLETED	0	2024-11-02 19:46:20.120	1m 58s	3.6s	52.2%	53.8 MB	61 MB	137.7 MB	17.3 KB
199	f2/c1a6d3	5964c15f-f66f-4370-91f8-9d93a3021409	generateRDF (198)	COMPLETED	0	2024-11-02 19:46:21.636	2m 6s	14.3s	42.3%	53.7 MB	61 MB	617.9 MB	17.3 KB
182	3b/1178d2	5ef9423b-87e4-4a14-bca3-e92c0f2d6901	generateRDF (181)	COMPLETED	0	2024-11-02 19:46:21.310	2m 17s	24.8s	53.2%	53.8 MB	61 MB	1.3 GB	17.3 KB
18	da/7c8c2d	41ad1cb3-02de-4bfb-b641-fc846645ca7a	generateRDF (17)	COMPLETED	0	2024-11-02 19:46:18.901	2m 29s	38s	31.3%	54 MB	61 MB	1.3 GB	17.3 KB
101	ba/4af812	56822ef2-94e7-4824-b286-4ba7fa814bc2	generateRDF (100)	COMPLETED	0	2024-11-02 19:46:19.636	2m 28s	34.8s	45.3%	53.9 MB	61 MB	2.1 GB	17.3 KB
79	d5/49035d	7059a3c2-e0e0-4b2f-8f30-697ebd954299	generateRDF (78)	COMPLETED	0	2024-11-02 19:46:19.203	2m 59s	1m 6s	25.7%	54 MB	61 MB	1.5 GB	17.3 KB
147	35/751d86	cebd20cb-e91b-4903-a774-af98a291038c	generateRDF (146)	COMPLETED	0	2024-11-02 19:46:20.713	2m 58s	1m 5s	34.6%	54 MB	61 MB	2.2 GB	17.3 KB
28	6d/088d5f	6f69572c-f8c5-4e66-973d-d3ef2ae2d30d	generateRDF (27)	COMPLETED	0	2024-11-02 19:46:18.920	3m 19s	1m 24s	22.4%	54 MB	61 MB	1.8 GB	17.3 KB
8	7e/409b8b	9d118ebf-d39b-4526-b985-364e7583c887	generateRDF (7)	COMPLETED	0	2024-11-02 19:46:18.938	3m 19s	1m 24s	25.7%	54.1 MB	61 MB	2.2 GB	17.3 KB
163	27/19b618	e5dbcd3b-ddfb-44f2-84c8-63e570d61108	generateRDF (162)	COMPLETED	0	2024-11-02 19:46:20.857	3m 17s	1m 26s	45.9%	53.9 MB	61 MB	4.3 GB	17.3 KB
297	d6/6bbf75	604012c3-9b6a-47b2-8651-0f97d5239ed1	generateRDF (296)	COMPLETED	0	2024-11-02 19:46:22.631	3m 16s	1m 11s	29.3%	53.9 MB	61 MB	1.9 GB	17.3 KB
35	ad/404bd4	91ff8221-bcef-4348-9a5f-0bfc820a97ac	generateRDF (34)	COMPLETED	0	2024-11-02 19:46:18.941	3m 39s	1m 46s	30.0%	53.9 MB	61 MB	3.3 GB	17.3 KB
227	70/181831	6fc91cf9-53f4-4d61-9d1f-bdeab45aa9c6	generateRDF (226)	COMPLETED	0	2024-11-02 19:46:22.172	3m 36s	1m 29s	27.6%	56.2 MB	62 MB	2.5 GB	100.6 KB
70	58/b59e26	8d0190c7-53fd-4a08-a796-296783e181aa	generateRDF (69)	COMPLETED	0	2024-11-02 19:46:19.088	3m 49s	1m 54s	28.7%	54 MB	61 MB	3.9 GB	17.3 KB
90	98/a843e2	4160e688-af98-408f-a506-153e6241aaf5	generateRDF (89)	COMPLETED	0	2024-11-02 19:46:19.465	4m 9s	2m 12s	41.8%	53.8 MB	61 MB	8 GB	17.3 KB
92	f5/8818a8	6196b3ac-5d54-46f1-ae13-96ce79612e1d	generateRDF (91)	COMPLETED	0	2024-11-02 19:46:19.484	4m 9s	2m 16s	42.4%	53.8 MB	61 MB	8 GB	17.3 KB
94	11/5f2071	f1b6cb30-663e-4d96-a339-f23963ea8c9b	generateRDF (93)	COMPLETED	0	2024-11-02 19:46:19.556	4m 9s	2m 13s	42.2%	53.8 MB	61 MB	8 GB	17.3 KB
97	f1/34e2c9	e7ccb579-f09a-42b4-afbb-c6aebd50da41	generateRDF (96)	COMPLETED	0	2024-11-02 19:46:19.579	4m 9s	2m 12s	44.0%	53.8 MB	61 MB	8 GB	17.3 KB
107	23/de8c02	086ab430-3959-47a8-8eaf-4d1a1e9a01a9	generateRDF (106)	COMPLETED	0	2024-11-02 19:46:19.763	4m 9s	2m 13s	43.9%	54 MB	61 MB	8 GB	17.3 KB
109	c8/dbeb77	fffd36f3-c317-4e37-983e-e089a73e0681	generateRDF (108)	COMPLETED	0	2024-11-02 19:46:19.875	4m 9s	2m 16s	48.0%	54 MB	61 MB	8 GB	17.3 KB
122	57/cf9e12	41fdbc69-117d-436c-8c11-6cf0cea22ceb	generateRDF (121)	COMPLETED	0	2024-11-02 19:46:20.085	4m 9s	2m 12s	46.0%	53.9 MB	61 MB	8 GB	17.3 KB
134	0f/03e9d5	1d320bb3-31aa-4b9d-aab8-bffdbcb5e010	generateRDF (133)	COMPLETED	0	2024-11-02 19:46:20.339	4m 9s	2m 14s	45.6%	53.7 MB	61 MB	8 GB	17.3 KB
139	e4/a327ab	95b2dd03-1aef-4ddc-ab98-0b5419fbf64c	generateRDF (138)	COMPLETED	0	2024-11-02 19:46:20.465	4m 9s	2m 15s	44.2%	53.9 MB	61 MB	8 GB	17.3 KB
158	11/3e7f4a	a7e86d2b-520c-4ed2-a672-4d0a1119f64f	generateRDF (157)	COMPLETED	0	2024-11-02 19:46:20.789	4m 9s	2m 19s	43.8%	53.9 MB	61 MB	8 GB	17.3 KB
160	38/c13a98	ef91dc7a-d2d9-4a2c-9404-58f0cd10563d	generateRDF (159)	COMPLETED	0	2024-11-02 19:46:20.879	4m 9s	2m 13s	44.1%	54.1 MB	61 MB	8 GB	17.3 KB
186	3c/7c9e52	92de734a-8a3d-4e80-8847-e18d953dc788	generateRDF (185)	COMPLETED	0	2024-11-02 19:46:21.450	4m 8s	2m 13s	43.7%	53.8 MB	61 MB	8 GB	17.3 KB
205	44/efac35	6fc72c34-4bcb-48d3-86d5-880f07330d7a	generateRDF (204)	COMPLETED	0	2024-11-02 19:46:21.737	4m 8s	2m 14s	44.4%	53.8 MB	61 MB	8 GB	17.3 KB
212	8e/ddcaa3	64dbeb3c-a469-4044-809e-bae2a04f1ae6	generateRDF (211)	COMPLETED	0	2024-11-02 19:46:21.842	4m 8s	2m 13s	44.7%	53.8 MB	61 MB	8 GB	17.3 KB
211	9f/980760	27ecf8a2-77d7-43b5-9dcc-1fbe2ccee782	generateRDF (210)	COMPLETED	0	2024-11-02 19:46:21.883	4m 8s	2m 12s	48.7%	53.8 MB	61 MB	8 GB	17.3 KB
248	76/ec635e	c5a490d4-2be5-400b-b11e-1ae42da1db85	generateRDF (247)	COMPLETED	0	2024-11-02 19:46:22.332	4m 8s	2m 1s	47.2%	53.8 MB	61 MB	8 GB	17.3 KB
39	a0/4bb116	656c4101-9377-45ef-a257-34feb058e324	generateRDF (38)	COMPLETED	0	2024-11-02 19:46:18.982	4m 19s	2m 23s	47.4%	54 MB	61 MB	8 GB	17.3 KB
