task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	c2/54e380	0b83fb2c-9007-4886-b75b-8282bf37b808	listFiles	COMPLETED	0	2024-11-02 20:38:05.088	1m 18s	513ms	88.5%	13.6 MB	19 MB	9.3 MB	82.4 KB
124	3b/1c8b3c	14a754fd-b112-4da9-9857-89107b9f55f2	generateRDF (123)	COMPLETED	0	2024-11-02 20:39:25.790	47.9s	3.6s	41.8%	53.7 MB	61 MB	137.5 MB	17.2 KB
199	7c/9772e3	d1b09cd4-d015-4c3f-b703-2827bb6ba8f2	generateRDF (198)	COMPLETED	0	2024-11-02 20:39:27.293	56.3s	13.5s	35.4%	53.9 MB	61 MB	617.3 MB	17.2 KB
277	24/611399	dba2c738-2bb4-4f1c-ae26-5d482fb951f5	generateRDF (276)	COMPLETED	0	2024-11-02 20:39:28.474	1m 5s	20.4s	31.2%	53.8 MB	61 MB	969.1 MB	17.2 KB
182	53/ca5b2b	cd5e21a9-97eb-4218-a82b-aaadb2559068	generateRDF (181)	COMPLETED	0	2024-11-02 20:39:26.964	1m 17s	26.8s	29.0%	53.7 MB	61 MB	1.3 GB	17.2 KB
18	69/24269d	cd8e72ef-53c5-4ec8-8b0c-73641ae18a9f	generateRDF (17)	COMPLETED	0	2024-11-02 20:39:24.470	1m 29s	47.7s	19.8%	53.9 MB	61 MB	1.3 GB	17.2 KB
101	ed/d108b1	898a54a0-72c8-48d1-a032-5b48b0634d91	generateRDF (100)	COMPLETED	0	2024-11-02 20:39:25.364	1m 29s	49s	33.5%	54 MB	61 MB	2.1 GB	17.2 KB
147	ed/ba0091	2ff51be2-a0e8-4a08-b2c6-8afb48928d7f	generateRDF (146)	COMPLETED	0	2024-11-02 20:39:26.223	1m 28s	47s	29.7%	53.9 MB	61 MB	2.2 GB	17.2 KB
265	d4/7b70c2	5d618ab6-83ad-4233-82f0-26bbb8c7cddc	generateRDF (264)	COMPLETED	0	2024-11-02 20:39:28.629	1m 35s	55.4s	27.3%	54.1 MB	61 MB	2.7 GB	17.2 KB
28	1e/edf967	655ee5ae-2448-4e47-a7f0-255089a85138	generateRDF (27)	COMPLETED	0	2024-11-02 20:39:24.562	1m 49s	1m 9s	14.6%	54 MB	61 MB	1.8 GB	17.2 KB
79	f9/180f47	b95cbc17-1e35-466b-b582-611faed18b1b	generateRDF (78)	COMPLETED	0	2024-11-02 20:39:24.816	1m 49s	58.2s	14.4%	53.9 MB	61 MB	1.5 GB	17.2 KB
297	46/dd1b4c	e4427c27-6274-4f44-8d32-3725bbbda686	generateRDF (296)	COMPLETED	0	2024-11-02 20:39:28.164	1m 56s	1m 15s	18.0%	53.8 MB	61 MB	1.9 GB	17.2 KB
